ID	Gene Name	Species	GOTERM_BP_DIRECT
PSMD9	proteasome 26S subunit, non-ATPase 9(PSMD9)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0032024~positive regulation of insulin secretion,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0045893~positive regulation of transcription, DNA-templated,GO:0046676~negative regulation of insulin secretion,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0070682~proteasome regulatory particle assembly,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSME1	proteasome activator subunit 1(PSME1)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0010950~positive regulation of endopeptidase activity,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0061136~regulation of proteasomal protein catabolic process,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:2000045~regulation of G1/S transition of mitotic cell cycle,
PSME2	proteasome activator subunit 2(PSME2)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0010950~positive regulation of endopeptidase activity,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0061136~regulation of proteasomal protein catabolic process,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:2000045~regulation of G1/S transition of mitotic cell cycle,
PSME3	proteasome activator subunit 3(PSME3)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0006915~apoptotic process,GO:0010950~positive regulation of endopeptidase activity,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0061136~regulation of proteasomal protein catabolic process,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:2000045~regulation of G1/S transition of mitotic cell cycle,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,
PSME4	proteasome activator subunit 4(PSME4)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006281~DNA repair,GO:0006521~regulation of cellular amino acid metabolic process,GO:0006974~cellular response to DNA damage stimulus,GO:0007275~multicellular organism development,GO:0010499~proteasomal ubiquitin-independent protein catabolic process,GO:0010952~positive regulation of peptidase activity,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0035093~spermatogenesis, exchange of chromosomal proteins,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMF1	proteasome inhibitor subunit 1(PSMF1)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0010951~negative regulation of endopeptidase activity,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:1901799~negative regulation of proteasomal protein catabolic process,
PSMA1	proteasome subunit alpha 1(PSMA1)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0002862~negative regulation of inflammatory response to antigenic stimulus,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMA2	proteasome subunit alpha 2(PSMA2)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0009615~response to virus,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMA3	proteasome subunit alpha 3(PSMA3)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0016032~viral process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0052548~regulation of endopeptidase activity,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMA4	proteasome subunit alpha 4(PSMA4)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006521~regulation of cellular amino acid metabolic process,GO:0016032~viral process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
PSMA5	proteasome subunit alpha 5(PSMA5)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000209~protein polyubiquitination,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0006521~regulation of cellular amino acid metabolic process,GO:0031145~anaphase-promoting complex-dependent catabolic process,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0038061~NIK/NF-kappaB signaling,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0043488~regulation of mRNA stability,GO:0050852~T cell receptor signaling pathway,GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090263~positive regulation of canonical Wnt signaling pathway,
